Date,Location,Vehicle_Type,Violation_Type,Fine_Amount (₹),Repeat_Offender,Weather_Condition,Time_of_Day,Road_Condition,Driver_Age_Group,Passengers_Count,Traffic_Density,License_Status,Accident_Involved,Speed_Recorded (km/h),Vehicle_Registration_State,Officer_ID,Previous_Violations,Insurance_Penalty (₹),Fine_Payment_Status
06-05-2024,Huda City Center,Auto-rickshaw,DUI,6867,TRUE,Foggy,Morning,Wet,26-35,2,Low,Valid,TRUE,20,Delhi,3,3,3766,Unpaid
13-11-2024,Signature Tower Chowk,Car,Red-Light Jump,4380,FALSE,Rainy,Evening,Wet,26-35,3,Medium,Valid,FALSE,4,Haryana,2,3,2013,Paid
05-08-2024,Udyog Vihar,Auto-rickshaw,DUI,8820,FALSE,Cloudy,Afternoon,Dry,50+,3,Low,Valid,FALSE,38,Delhi,7,2,4757,Unpaid
05-05-2024,Sikanderpur,Truck,Speeding,4243,FALSE,Cloudy,Morning,Slippery,18-25,5,High,Valid,FALSE,24,Punjab,1,1,1004,Disputed
18-02-2024,Sector 29,Bus,Red-Light Jump,,FALSE,Clear,Afternoon,Under Construction,36-50,1,Low,Expired,TRUE,29,Haryana,3,1,2859,Disputed
28-02-2024,Sohna Road near Iris Tech Park,Truck,Wrong-Side Driving,6020,FALSE,Foggy,Morning,Dry,36-50,2,High,Valid,FALSE,77,Haryana,4,3,1489,Disputed
04-01-2024,IFFCO Chowk,Bus,No Seatbelt,1000,TRUE,Rainy,Evening,Slippery,50+,1,Medium,Expired,TRUE,74,Haryana,6,3,4985,Disputed
02-08-2024,Sohna Road near Iris Tech Park,Truck,Wrong-Side Driving,2528,TRUE,Foggy,Morning,Under Construction,50+,1,Low,Valid,FALSE,41,Punjab,2,2,3110,Unpaid
11-07-2024,Sikanderpur,Bike,No Helmet,1000,TRUE,Cloudy,Afternoon,Under Construction,18-25,1,High,Valid,FALSE,31,Haryana,2,2,2737,Paid
21-09-2024,Sector 29,Truck,No Seatbelt,1000,FALSE,Cloudy,Afternoon,Wet,26-35,3,High,Expired,TRUE,48,Uttar Pradesh,3,1,4468,Disputed
14-01-2024,Sikanderpur,Truck,DUI,,TRUE,Cloudy,Morning,Slippery,18-25,3,High,Valid,FALSE,76,Punjab,4,3,2687,Paid
04-02-2024,Sector 29,Auto-rickshaw,No Seatbelt,1000,FALSE,Clear,Afternoon,Slippery,50+,4,Low,Expired,FALSE,8,Punjab,8,1,1096,Unpaid
03-08-2024,IFFCO Chowk,Car,DUI,9854,FALSE,Rainy,Morning,Wet,18-25,0,Low,Valid,TRUE,17,Punjab,2,1,3582,Unpaid
26-04-2024,IFFCO Chowk,Auto-rickshaw,No Seatbelt,1000,FALSE,Stormy,Morning,Slippery,50+,2,Low,Expired,TRUE,75,Uttar Pradesh,1,1,1786,Paid
10-06-2024,Sikanderpur,Bike,DUI,9434,FALSE,Cloudy,Morning,Slippery,36-50,2,High,Suspended,FALSE,58,Rajasthan,7,2,3998,Disputed
04-08-2024,Sheetala Mata Road,Car,Red-Light Jump,4354,TRUE,Foggy,Evening,Slippery,18-25,5,High,Suspended,FALSE,113,Punjab,8,1,897,Unpaid
20-07-2024,Sector 29,Bike,Wrong-Side Driving,2068,FALSE,Foggy,Evening,Dry,50+,2,High,Valid,TRUE,30,Uttar Pradesh,6,2,2121,Unpaid
22-09-2024,Golf Course Road,Auto-rickshaw,Wrong-Side Driving,6322,TRUE,Rainy,Night,Wet,18-25,2,Low,Expired,FALSE,86,Rajasthan,9,3,680,Disputed
