Date,Location,Vehicle_Type,Violation_Type,Fine_Amount,Repeat_Offender,Weather_Condition,Time_of_Day,Road_Condition,Driver_Age_Group,Passengers_Count,Traffic_Density,License_Status,Accident_Involved,Speed_Recorded_kmphr,Vehicle_Registration_State,Officer_ID,Previous_Violations,Insurance_Penalty,Fine_Payment_Status,year_no,month_no,month_name,quarter_no
2024-05-06,Huda City Center,Auto-rickshaw,DUI,6867,True,Foggy,Morning,Wet,26-35,2,Low,Valid,True,20,Delhi,3,3,3766,Unpaid,2024,5,May,2
2024-11-13,Signature Tower Chowk,Car,Red-Light Jump,4380,False,Rainy,Evening,Wet,26-35,3,Medium,Valid,False,4,Haryana,2,3,2013,Paid,2024,11,November,4
2024-08-05,Udyog Vihar,Auto-rickshaw,DUI,8820,False,Cloudy,Afternoon,Dry,50+,3,Low,Valid,False,38,Delhi,7,2,4757,Unpaid,2024,8,August,3
2024-05-05,Sikanderpur,Truck,Speeding,4243,False,Cloudy,Morning,Slippery,18-25,5,High,Valid,False,24,Punjab,1,1,1004,Disputed,2024,5,May,2
2024-02-18,Sector 29,Bus,Red-Light Jump,3391,False,Clear,Afternoon,Under Construction,36-50,1,Low,Expired,True,29,Haryana,3,1,2859,Disputed,2024,2,February,1
2024-02-28,Sohna Road near Iris Tech Park,Truck,Wrong-Side Driving,6020,False,Foggy,Morning,Dry,36-50,2,High,Valid,False,77,Haryana,4,3,1489,Disputed,2024,2,February,1
2024-01-04,IFFCO Chowk,Bus,No Seatbelt,1000,True,Rainy,Evening,Slippery,50+,1,Medium,Expired,True,74,Haryana,6,3,4985,Disputed,2024,1,January,1
2024-08-02,Sohna Road near Iris Tech Park,Truck,Wrong-Side Driving,2528,True,Foggy,Morning,Under Construction,50+,1,Low,Valid,False,41,Punjab,2,2,3110,Unpaid,2024,8,August,3
2024-07-11,Sikanderpur,Bike,No Helmet,1000,True,Cloudy,Afternoon,Under Construction,18-25,1,High,Valid,False,31,Haryana,2,2,2737,Paid,2024,7,July,3
2024-09-21,Sector 29,Truck,No Seatbelt,1000,False,Cloudy,Afternoon,Wet,26-35,3,High,Expired,True,48,Uttar Pradesh,3,1,4468,Disputed,2024,9,September,3
2024-01-14,Sikanderpur,Truck,DUI,7858,True,Cloudy,Morning,Slippery,18-25,3,High,Valid,False,76,Punjab,4,3,2687,Paid,2024,1,January,1
2024-02-04,Sector 29,Auto-rickshaw,No Seatbelt,1000,False,Clear,Afternoon,Slippery,50+,4,Low,Expired,False,8,Punjab,8,1,1096,Unpaid,2024,2,February,1
2024-08-03,IFFCO Chowk,Car,DUI,9854,False,Rainy,Morning,Wet,18-25,0,Low,Valid,True,17,Punjab,2,1,3582,Unpaid,2024,8,August,3
2024-04-26,IFFCO Chowk,Auto-rickshaw,No Seatbelt,1000,False,Stormy,Morning,Slippery,50+,2,Low,Expired,True,75,Uttar Pradesh,1,1,1786,Paid,2024,4,April,2
2024-06-10,Sikanderpur,Bike,DUI,9434,False,Cloudy,Morning,Slippery,36-50,2,High,Suspended,False,58,Rajasthan,7,2,3998,Disputed,2024,6,June,2
2024-08-04,Sheetala Mata Road,Car,Red-Light Jump,4354,True,Foggy,Evening,Slippery,18-25,5,High,Suspended,False,113,Punjab,8,1,897,Unpaid,2024,8,August,3
2024-07-20,Sector 29,Bike,Wrong-Side Driving,2068,False,Foggy,Evening,Dry,50+,2,High,Valid,True,30,Uttar Pradesh,6,2,2121,Unpaid,2024,7,July,3
2024-09-22,Golf Course Road,Auto-rickshaw,Wrong-Side Driving,6322,True,Rainy,Night,Wet,18-25,2,Low,Expired,False,86,Rajasthan,9,3,680,Disputed,2024,9,September,3
2024-11-24,Signature Tower Chowk,Bike,No Helmet,1000,False,Foggy,Night,Under Construction,50+,3,Low,Valid,True,54,Rajasthan,4,1,1855,Unpaid,2024,11,November,4
2024-02-18,Signature Tower Chowk,Car,Red-Light Jump,1826,False,Foggy,Morning,Wet,50+,2,High,Valid,False,0,Punjab,10,1,4366,Paid,2024,2,February,1
2024-01-04,Sector 29,Auto-rickshaw,Speeding,1399,False,Rainy,Evening,Wet,26-35,0,Low,Expired,False,64,Haryana,8,3,1885,Disputed,2024,1,January,1
2024-10-01,Huda City Center,Auto-rickshaw,Wrong-Side Driving,4594,False,Cloudy,Morning,Dry,36-50,5,Medium,Expired,False,117,Punjab,1,2,4672,Disputed,2024,10,October,4
2024-02-22,IFFCO Chowk,Car,DUI,6697,False,Foggy,Evening,Dry,26-35,0,Medium,Suspended,False,34,Haryana,7,1,1813,Disputed,2024,2,February,1
2024-01-10,Manesar Toll,Bus,No Seatbelt,1000,False,Rainy,Evening,Dry,36-50,1,High,Suspended,True,88,Rajasthan,4,2,3829,Disputed,2024,1,January,1
2024-12-16,Sikanderpur,Bike,No Helmet,1000,False,Rainy,Afternoon,Wet,26-35,3,Low,Suspended,False,107,Delhi,7,3,2747,Unpaid,2024,12,December,4
2024-05-22,NH-8,Auto-rickshaw,Wrong-Side Driving,7055,False,Rainy,Afternoon,Wet,36-50,4,High,Expired,False,77,Punjab,1,2,2267,Unpaid,2024,5,May,2
2024-02-22,Sector 29,Bus,Wrong-Side Driving,7566,False,Rainy,Evening,Under Construction,36-50,2,Low,Valid,False,53,Uttar Pradesh,6,1,4310,Unpaid,2024,2,February,1
2024-05-12,IFFCO Chowk,Truck,Speeding,3247,False,Stormy,Night,Slippery,26-35,0,Low,Suspended,True,10,Delhi,1,3,4182,Unpaid,2024,5,May,2
2024-12-08,Sohna Road near Iris Tech Park,Car,Red-Light Jump,4179,False,Rainy,Afternoon,Slippery,18-25,5,High,Learner,True,82,Delhi,9,3,3407,Disputed,2024,12,December,4
2024-01-19,Cyber City,Bus,Wrong-Side Driving,3717,False,Stormy,Evening,Dry,26-35,2,Low,Learner,True,45,Haryana,1,3,1884,Unpaid,2024,1,January,1
2024-12-01,Cyber City,Bike,Speeding,1111,True,Rainy,Night,Dry,18-25,0,High,Learner,False,10,Punjab,1,1,1384,Paid,2024,12,December,4
2024-09-08,Sohna Road near Iris Tech Park,Auto-rickshaw,No Seatbelt,1000,True,Stormy,Morning,Wet,36-50,4,High,Suspended,True,101,Haryana,1,3,2076,Unpaid,2024,9,September,3
2024-07-24,IFFCO Chowk,Bus,Wrong-Side Driving,3921,True,Stormy,Night,Slippery,50+,5,Medium,Learner,False,114,Uttar Pradesh,9,3,1533,Paid,2024,7,July,3
2024-10-28,Sheetala Mata Road,Bike,DUI,8997,True,Rainy,Night,Slippery,50+,1,Low,Learner,True,23,Delhi,5,3,897,Unpaid,2024,10,October,4
2024-08-01,Sector 56,Bus,Speeding,3845,True,Foggy,Afternoon,Slippery,50+,26,High,Suspended,True,10,Haryana,5,1,3601,Unpaid,2024,8,August,3
2024-09-11,Sohna Road near Iris Tech Park,Truck,Wrong-Side Driving,4414,True,Foggy,Morning,Under Construction,26-35,1,Low,Learner,False,95,Delhi,2,3,2160,Paid,2024,9,September,3
2024-08-08,Sector 56,Bike,No Helmet,1000,True,Foggy,Evening,Wet,18-25,3,Medium,Expired,True,100,Rajasthan,6,2,2261,Disputed,2024,8,August,3
2024-04-06,Manesar Toll,Truck,Red-Light Jump,2595,False,Cloudy,Morning,Under Construction,50+,4,High,Suspended,True,27,Haryana,7,3,568,Paid,2024,4,April,2
2024-08-08,IFFCO Chowk,Car,Red-Light Jump,3391,True,Rainy,Night,Wet,18-25,3,Medium,Suspended,False,107,Uttar Pradesh,7,3,4804,Paid,2024,8,August,3
2024-02-23,Sikanderpur,Bus,No Seatbelt,1000,False,Foggy,Afternoon,Under Construction,50+,4,High,Learner,True,110,Punjab,9,2,2153,Disputed,2024,2,February,1
2024-02-01,Manesar Toll,Car,DUI,9515,True,Foggy,Night,Dry,26-35,5,Low,Suspended,False,55,Punjab,4,2,3040,Paid,2024,2,February,1
2024-10-27,Udyog Vihar,Bike,No Helmet,1000,True,Clear,Evening,Dry,18-25,2,High,Expired,True,43,Haryana,10,2,1396,Unpaid,2024,10,October,4
2024-09-11,Rajiv Chowk,Auto-rickshaw,Wrong-Side Driving,5187,True,Stormy,Afternoon,Dry,50+,1,Low,Learner,False,16,Uttar Pradesh,10,2,2997,Unpaid,2024,9,September,3
2024-09-10,MG Road,Auto-rickshaw,No Seatbelt,1000,False,Stormy,Evening,Dry,18-25,3,Low,Valid,False,86,Punjab,8,2,768,Paid,2024,9,September,3
2024-11-22,Udyog Vihar,Auto-rickshaw,Red-Light Jump,2288,False,Foggy,Afternoon,Dry,50+,4,Low,Valid,False,8,Rajasthan,4,2,4452,Disputed,2024,11,November,4
2024-10-15,Sohna Road near Iris Tech Park,Bike,Red-Light Jump,3342,True,Rainy,Evening,Wet,26-35,3,High,Valid,False,95,Rajasthan,7,2,4857,Paid,2024,10,October,4
